run_id,index,repeat_index,audio_name,audio_path,gcs_uri,audio_size_bytes,audio_duration_sec,sample_rate_hz,channels,bitrate_bps,upload_sec,submit_utc,done_utc,submit_sec,execution_latency_sec,server_execution_sec,server_start_utc,server_update_utc,result_count,word_count,transcript_chars,success,operation_name,error_message
20260606_112414_3a10514e,1,1,perfect_planet_2min.flac,/Users/heng/Documents/skybridge/sim/video_clips/audio_flac/perfect_planet_2min.flac,gs://skyflow-ae/gcp_speech_measure/perfect_planet_2min.flac,4698768,120.000750,16000,1,313249.000000,0.000000,2026-06-06T11:24:17.979427+00:00,2026-06-06T11:24:55.861738+00:00,5.065527,32.817127,22.262283,2026-06-06T11:24:22.856818+00:00,2026-06-06T11:24:45.119101+00:00,11,96,525,1,6035550643529347241,
20260606_112414_3a10514e,2,2,perfect_planet_2min.flac,/Users/heng/Documents/skybridge/sim/video_clips/audio_flac/perfect_planet_2min.flac,gs://skyflow-ae/gcp_speech_measure/perfect_planet_2min.flac,4698768,120.000750,16000,1,313249.000000,0.000000,2026-06-06T11:25:55.861154+00:00,2026-06-06T11:26:22.112882+00:00,1.818670,24.433123,22.565135,2026-06-06T11:25:57.625231+00:00,2026-06-06T11:26:20.190366+00:00,11,96,525,1,2612519150935007690,
20260606_112414_3a10514e,3,3,perfect_planet_2min.flac,/Users/heng/Documents/skybridge/sim/video_clips/audio_flac/perfect_planet_2min.flac,gs://skyflow-ae/gcp_speech_measure/perfect_planet_2min.flac,4698768,120.000750,16000,1,313249.000000,0.000000,2026-06-06T11:27:22.121913+00:00,2026-06-06T11:27:48.692711+00:00,2.970542,23.600365,18.488986,2026-06-06T11:27:24.907760+00:00,2026-06-06T11:27:43.396746+00:00,11,96,525,1,8206311092685846762,
20260606_112804_2bffaca8,1,1,perfect_planet_4min.flac,/Users/heng/Documents/skybridge/sim/video_clips/audio_flac/perfect_planet_4min.flac,gs://skyflow-ae/gcp_speech_measure/perfect_planet_4min.flac,9414719,240.001438,16000,1,313822.000000,3.190675,2026-06-06T11:28:10.991225+00:00,2026-06-06T11:28:59.987846+00:00,5.116295,43.880222,40.192181,2026-06-06T11:28:15.889927+00:00,2026-06-06T11:28:56.082108+00:00,20,190,1040,1,4497603593675548485,
20260606_112804_2bffaca8,2,2,perfect_planet_4min.flac,/Users/heng/Documents/skybridge/sim/video_clips/audio_flac/perfect_planet_4min.flac,gs://skyflow-ae/gcp_speech_measure/perfect_planet_4min.flac,9414719,240.001438,16000,1,313822.000000,3.190675,2026-06-06T11:29:59.990074+00:00,2026-06-06T11:30:45.183208+00:00,2.926207,42.267243,42.363918,2026-06-06T11:30:02.732375+00:00,2026-06-06T11:30:45.096293+00:00,20,190,1040,1,4434085563109740375,
20260606_112804_2bffaca8,3,3,perfect_planet_4min.flac,/Users/heng/Documents/skybridge/sim/video_clips/audio_flac/perfect_planet_4min.flac,gs://skyflow-ae/gcp_speech_measure/perfect_planet_4min.flac,9414719,240.001438,16000,1,313822.000000,3.190675,2026-06-06T11:31:45.183431+00:00,2026-06-06T11:32:33.406828+00:00,1.863231,46.360332,41.695933,2026-06-06T11:31:46.979955+00:00,2026-06-06T11:32:28.675888+00:00,20,190,1040,1,5028273649737149552,
20260606_113248_618769f2,1,1,perfect_planet_6min.flac,/Users/heng/Documents/skybridge/sim/video_clips/audio_flac/perfect_planet_6min.flac,gs://skyflow-ae/gcp_speech_measure/perfect_planet_6min.flac,14041680,360.002188,16000,1,312035.000000,3.205185,2026-06-06T11:32:55.386439+00:00,2026-06-06T11:33:59.206748+00:00,3.800381,60.018820,56.835618,2026-06-06T11:32:59.000208+00:00,2026-06-06T11:33:55.835826+00:00,28,264,1419,1,3623783885141497981,
20260606_113248_618769f2,2,2,perfect_planet_6min.flac,/Users/heng/Documents/skybridge/sim/video_clips/audio_flac/perfect_planet_6min.flac,gs://skyflow-ae/gcp_speech_measure/perfect_planet_6min.flac,14041680,360.002188,16000,1,312035.000000,3.205185,2026-06-06T11:34:59.206743+00:00,2026-06-06T11:36:09.376443+00:00,1.914508,68.255535,57.048174,2026-06-06T11:35:00.938940+00:00,2026-06-06T11:35:57.987114+00:00,28,264,1419,1,7552560166456547963,
20260606_113248_618769f2,3,3,perfect_planet_6min.flac,/Users/heng/Documents/skybridge/sim/video_clips/audio_flac/perfect_planet_6min.flac,gs://skyflow-ae/gcp_speech_measure/perfect_planet_6min.flac,14041680,360.002188,16000,1,312035.000000,3.205185,2026-06-06T11:37:09.381115+00:00,2026-06-06T11:38:12.520115+00:00,3.107887,60.031243,56.574476,2026-06-06T11:37:12.298255+00:00,2026-06-06T11:38:08.872731+00:00,28,264,1419,1,3060285052902378827,
20260606_113828_563a91c8,1,1,perfect_planet_8min.flac,/Users/heng/Documents/skybridge/sim/video_clips/audio_flac/perfect_planet_8min.flac,gs://skyflow-ae/gcp_speech_measure/perfect_planet_8min.flac,18605959,480.002938,16000,1,310097.000000,3.582828,2026-06-06T11:38:35.368157+00:00,2026-06-06T11:40:03.381832+00:00,5.225681,82.789159,78.215739,2026-06-06T11:38:40.416397+00:00,2026-06-06T11:39:58.632136+00:00,42,400,2174,1,1249717438758387068,
20260606_113828_563a91c8,2,2,perfect_planet_8min.flac,/Users/heng/Documents/skybridge/sim/video_clips/audio_flac/perfect_planet_8min.flac,gs://skyflow-ae/gcp_speech_measure/perfect_planet_8min.flac,18605959,480.002938,16000,1,310097.000000,3.582828,2026-06-06T11:41:03.385648+00:00,2026-06-06T11:42:24.156076+00:00,1.850124,78.933317,75.219345,2026-06-06T11:41:05.180928+00:00,2026-06-06T11:42:20.400273+00:00,42,400,2174,1,975916186699720904,
20260606_113828_563a91c8,3,3,perfect_planet_8min.flac,/Users/heng/Documents/skybridge/sim/video_clips/audio_flac/perfect_planet_8min.flac,gs://skyflow-ae/gcp_speech_measure/perfect_planet_8min.flac,18605959,480.002938,16000,1,310097.000000,3.582828,2026-06-06T11:43:24.156202+00:00,2026-06-06T11:44:51.816549+00:00,3.028145,84.632883,77.266360,2026-06-06T11:43:26.985104+00:00,2026-06-06T11:44:44.251464+00:00,42,400,2174,1,2290194954378791208,
20260606_114508_255933df,1,1,perfect_planet_10min.flac,/Users/heng/Documents/skybridge/sim/video_clips/audio_flac/perfect_planet_10min.flac,gs://skyflow-ae/gcp_speech_measure/perfect_planet_10min.flac,23168313,600.003625,16000,1,308908.000000,4.248045,2026-06-06T11:45:15.401954+00:00,2026-06-06T11:47:05.371957+00:00,5.134267,104.836096,104.169611,2026-06-06T11:45:20.359456+00:00,2026-06-06T11:47:04.529067+00:00,53,529,2910,1,8728784601772242264,
20260606_114508_255933df,2,2,perfect_planet_10min.flac,/Users/heng/Documents/skybridge/sim/video_clips/audio_flac/perfect_planet_10min.flac,gs://skyflow-ae/gcp_speech_measure/perfect_planet_10min.flac,23168313,600.003625,16000,1,308908.000000,4.248045,2026-06-06T11:48:05.380997+00:00,2026-06-06T11:49:52.490020+00:00,3.143817,103.965589,94.790556,2026-06-06T11:48:08.266308+00:00,2026-06-06T11:49:43.056864+00:00,53,529,2910,1,1095776309926575306,
20260606_114508_255933df,3,3,perfect_planet_10min.flac,/Users/heng/Documents/skybridge/sim/video_clips/audio_flac/perfect_planet_10min.flac,gs://skyflow-ae/gcp_speech_measure/perfect_planet_10min.flac,23168313,600.003625,16000,1,308908.000000,4.248045,2026-06-06T11:50:52.494925+00:00,2026-06-06T11:52:29.827963+00:00,1.834258,95.499170,90.570032,2026-06-06T11:50:54.177973+00:00,2026-06-06T11:52:24.748005+00:00,53,529,2910,1,1171473623781622768,
